donor,cel_files,array_type
166,test/data/GSM7036154_166.CEL,UKB
180N,test/data/GSM7036155_180N.CEL,UKB
FSA0001,test/data/GSM7036156_FSA0001.CEL,UKB
FSA0004,test/data/GSM7036157_FSA0004.CEL,UKB
IST1877,test/data/GSM7036158_IST1877.CEL,UKB
IST3323,test/data/GSM7036159_IST3323.CEL,UKB
MBE0953,test/data/GSM7036160_MBE0953.CEL,UKB
MBE2817,test/data/GSM7036161_MBE2817.CEL,UKB
MBE2900,test/data/GSM7036162_MBE2900.CEL,UKB
TOB0198,test/data/GSM7036163_TOB0198.CEL,UKB
TOB0199,test/data/GSM7036164_TOB0199.CEL,UKB
TOB0205,test/data/GSM7036165_TOB0205.CEL,UKB
TOB0220,test/data/GSM7036166_TOB0220.CEL,UKB
TOB0421,test/data/GSM7036167_TOB0421.CEL,UKB
TOB0435,test/data/GSM7036168_TOB0435.CEL,UKB
WAB0004,test/data/GSM7036169_WAB0004.CEL,UKB
WAB0038,test/data/GSM7036170_WAB0038.CEL,UKB
WAB0103,test/data/GSM7036171_WAB0103.CEL,UKB
FSA0006,test/data/GSM7036172_FSA0006.CEL,UKB
MBE1006,test/data/GSM7036173_MBE1006.CEL,UKB
