sample,cel_files,genotype_sample,array_type,array
3947,test/data/5504844441710070123426_UKB_C09_KAC9746A33_3947_Tumour.CEL,3947,UKB,KAC9746_UKB_B12-D03_RESULTS
3561,test/data/5504844441710070123426_UKB_C08_KAC9746A32_3561_Tumour.CEL,3561,UKB,KAC9746_UKB_B12-D03_RESULTS
3558,test/data/5504844441710070123426_UKB_B12_KAC9746A24_3558_Tumour.CEL,3558,UKB,KAC9746_UKB_B12-D03_RESULTS
3930,test/data/5504844441710070123426_UKB_C01_KAC9746A25_3930_Tumour.CEL,3930,UKB,KAC9746_UKB_B12-D03_RESULTS
3840,test/data/5504844441710070123426_UKB_C03_KAC9746A27_3840_Tumour.CEL,3840,UKB,KAC9746_UKB_B12-D03_RESULTS
3564,test/data/5504844441710070123426_UKB_C02_KAC9746A26_3564_Tumour.CEL,3564,UKB,KAC9746_UKB_B12-D03_RESULTS
PBMC-spike,NA,PBMC,NA,NA
3947,test/data/5504844441710070123426_UKB_C09_KAC9746A33_3947_Tumour.CEL,3947,UKB,KAC9746_UKB_B12-D03_RESULTS
3561,test/data/5504844441710070123426_UKB_C08_KAC9746A32_3561_Tumour.CEL,3561,UKB,KAC9746_UKB_B12-D03_RESULTS
3558,test/data/5504844441710070123426_UKB_B12_KAC9746A24_3558_Tumour.CEL,3558,UKB,KAC9746_UKB_B12-D03_RESULTS
3930,test/data/5504844441710070123426_UKB_C01_KAC9746A25_3930_Tumour.CEL,3930,UKB,KAC9746_UKB_B12-D03_RESULTS
3840,test/data/5504844441710070123426_UKB_C03_KAC9746A27_3840_Tumour.CEL,3840,UKB,KAC9746_UKB_B12-D03_RESULTS
3564,test/data/5504844441710070123426_UKB_C02_KAC9746A26_3564_Tumour.CEL,3564,UKB,KAC9746_UKB_B12-D03_RESULTS
PBMC,NA,PBMC,NA,NA
